gvkey,conm,weburl,found,visible,paragraphs,words,fog,overall,tptrackingcookies
174136,ACHILLION PHARMACEUTICALS,www.achillion.com,1,1,11,735,15.494333,-.67946261,0
27372,AC IMMUNE SA,www.acimmune.com,0,0,,,,,0
31564,ACI WORLDWIDE INC,www.aciworldwide.com,1,1,70,4191,16.131472,.39219633,8
25904,ACLARIS THERAPEUTICS INC,www.aclaristx.com,1,1,11,737,15.553193,-.67419893,0
1097,ACMAT CORP  -CL A,www.acmatcorp.com,0,1,,,,,0
1104,ACME UNITED CORP,www.acmeunited.com,1,1,21,2166,20.035393,.24010283,
17173,ACNB CORP,www.acnb.com,1,1,1,59.540001,18.078161,-.34644493,
156617,ACORDA THERAPEUTICS INC,www.acorda.com,1,1,35,2205,16.099096,.69317049,2
24912,ACORN ENERGY INC,www.acornenergy.com,1,1,4,298,15.555001,-.3431167,0
19545,AMERICAN CAPITAL SR FLTG LTD,www.acsf.com,0,0,,,,,0
180405,ACTIVISION BLIZZARD INC,www.activisionblizzard.com,1,1,107,5378,17.919937,1.0018654,5
1706,ACTUANT CORP  -CL A,www.actuant.com,1,1,27,1690,25.537382,.99496484,
21155,ACUITYADS HOLDINGS INC,www.acuityads.com,1,1,21,794,15.923402,-.36271173,17
146017,ACUITY BRANDS INC,www.acuitybrands.com,1,1,29,2185,17.514765,.16509695,8
11929,ACURA PHARMACEUTICALS INC,www.acurapharm.com,1,1,30,2595,17.906879,-.43304959,0
27575,ACUSHNET HOLDINGS CORP,www.acushnetholdingscorp.com,1,1,32,1366,11.837566,.59409767,1
20042,ADAMAS PHARMACEUTICALS INC,www.adamaspharma.com,1,1,108,3481,21.8395,.12476272,10
182826,ADAMIS PHARMACEUTICALS CORP,www.adamispharmaceuticals.com,1,1,10,698,17.940887,-.80274785,0
1121,ADAMS RESOURCES & ENERGY INC,www.adamsresources.com,0,0,,,,,1
23574,ADAPTIMMUNE THERAPEUTICS,www.adaptimmune.com,1,1,68,3249,18.101452,.37376517,0
183283,ADDUS HOMECARE CORP,www.addus.com,1,1,22,1076,11.837566,.20305875,1
24428,ADDVANTAGE TECHNOLOGIES GP,www.addvantagetechnologies.com,0,0,,,,,0
186275,ADECOAGRO SA,www.adecoagro.com,1,0,41,2147,18.880739,-.25859159,0
26187,ADESTO TECHNOLOGIES CORP,www.adestotech.com,1,1,30,1983,15.691569,-.30092973,3
122154,ADF GROUP INC,www.adfgroup.com,0,0,,,,,0
27333,ADIENT PLC,www.adient.com,1,1,5,189,17.07896,-.23375335,16
1722,ARCHER-DANIELS-MIDLAND CO,www.adm.com,1,1,48,2728,22.749617,-.30266553,3
17653,ADMA BIOLOGICS INC,www.admabiologics.com,1,1,3,180,12.906322,-6.7715673,1
106126,APPLIED DNA SCIENCES INC,www.adnas.com,1,1,35,2159,16.379086,1.0416976,3
12540,ADOBE SYSTEMS INC,www.adobe.com,1,0,81,3549,19.285866,.3426652,2
31825,ADOMANI INC,www.adomanielectric.com,0,0,,,,,2
1891,AUTOMATIC DATA PROCESSING,www.adp.com,1,1,12,273,13.016936,-.31502664,0
32930,ADT INC,www.adt.com,1,1,37,1679,16.589287,.68402636,15
3905,ADTALEM GLOBAL EDUCATION INC,www.adtalem.com,1,1,67,3218,17.494354,1.1092763,0
30576,ADTRAN INC,www.adtran.com,1,0,31,1765,15.290639,-.2555193,0
23335,ADURO BIOTECH INC,www.aduro.com,1,1,17,1144,17.79323,.14898868,0
